Object 1 Volume,Object 1 Grasping Length,"Object 1 Shape (Cuboid, Sphere, Cylinder)",Object 2 Volume,Object 2 Grasping Length,"Object 2 Shape (Cuboid, Sphere, Cylinder)",Remaining Workspace Volume after first grasp,Remaining Workspace Volume after both grasps
7.3696e-05,0.094,"[1, 0, 0]",0.00025344,0.11,"[1, 0, 0]",0.0066656709987531,0.0031161642976313
0.000343128,0.102,"[1, 0, 0]",8.2448e-05,0.0,"[0, 1, 0]",0.0064887866232842,0.0030455620309411
1.71573e-05,0.0,"[0, 1, 0]",7.2382e-06,0.0,"[0, 1, 0]",0.0066969241211954,0.0031330871510835
1.1494e-05,0.0,"[0, 1, 0]",7.36222e-05,0.0,"[0, 1, 0]",0.0066992799371715,0.0031332972648623
1.1494e-05,0.0,"[0, 1, 0]",9.1232e-06,0.024,"[0, 0, 1]",0.0066991891800717,0.0031332810297267
0.0001429299,0.094,"[0, 0, 1]",8.14301e-05,0.08,"[0, 0, 1]",0.0066595783047608,0.0031281439667759
1.6128e-05,0.112,"[1, 0, 0]",6.272e-06,0.032,"[1, 0, 0]",0.0067006127510136,0.0031294563120261
1.4368e-06,0.0,"[0, 1, 0]",8.8216e-06,0.078,"[0, 0, 1]",0.0067056046085531,0.0031332719977634
9.16088e-05,0.09,"[0, 0, 1]",1.6856e-05,0.086,"[1, 0, 0]",0.0066724707243814,0.003132083080636
9.36e-05,0.104,"[1, 0, 0]",0.000155735,0.068,"[0, 0, 1]",0.0066635186058061,0.003109000304133
3.35103e-05,0.0,"[0, 1, 0]",3.35103e-05,0.0,"[0, 1, 0]",0.0066839023973461,0.003132219940615
6.1525e-05,0.034,"[0, 0, 1]",0.0001649336,0.084,"[0, 0, 1]",0.0066855242846595,0.0031305351023546
7.93943e-05,0.078,"[0, 0, 1]",3.69451e-05,0.06,"[0, 0, 1]",0.0066760629190793,0.0031321170670253
0.000235,0.094,"[1, 0, 0]",8.64e-05,0.024,"[1, 0, 0]",0.0065407232677532,0.0030780307540587
1.71573e-05,0.0,"[0, 1, 0]",8.1681e-06,0.026,"[0, 0, 1]",0.0066960774713173,0.003133218368395
0.0002243851,0.124,"[0, 0, 1]",1.4368e-06,0.0,"[0, 1, 0]",0.0066202538431607,0.0031235371566463
0.0001866106,0.066,"[0, 0, 1]",9.19523e-05,0.0,"[0, 1, 0]",0.006631139140148,0.0031197170896575
0.000117912,0.102,"[1, 0, 0]",7.3728e-05,0.072,"[1, 0, 0]",0.0066501779435707,0.0031018873104768
0.0001357168,0.108,"[0, 0, 1]",6.54498e-05,0.0,"[0, 1, 0]",0.0066576187211834,0.0031301349271988
7.8416e-05,0.116,"[1, 0, 0]",2.4429e-05,0.0,"[0, 1, 0]",0.006661031686144,0.0031147525480011
0.00018816,0.06,"[1, 0, 0]",1.71573e-05,0.0,"[0, 1, 0]",0.0065939522484899,0.0030963440247026
7.60014e-05,0.042,"[0, 0, 1]",2.87309e-05,0.0,"[0, 1, 0]",0.0066852873566461,0.0031295179443809
1.1494e-05,0.0,"[0, 1, 0]",9.3312e-05,0.072,"[1, 0, 0]",0.0066992619589012,0.0031334027155311
7.06858e-05,0.036,"[0, 0, 1]",5.29547e-05,0.086,"[0, 0, 1]",0.0066836697404986,0.0031300208055496
3.87924e-05,0.0,"[0, 1, 0]",4.312e-06,0.022,"[1, 0, 0]",0.0066795678697586,0.0031315411285573
3.58142e-05,0.114,"[0, 0, 1]",5.0965e-05,0.0,"[0, 1, 0]",0.0066971847295027,0.0031332970248741
5.81069e-05,0.064,"[0, 0, 1]",5.12e-06,0.02,"[1, 0, 0]",0.0066871914640913,0.0031326761240104
9.19523e-05,0.0,"[0, 1, 0]",3.888e-05,0.12,"[1, 0, 0]",0.0066384451407214,0.0031245166200785
7.7976e-05,0.054,"[1, 0, 0]",4.6656e-05,0.016,"[1, 0, 0]",0.0066557175815885,0.0031223928168491
1.82212e-05,0.058,"[0, 0, 1]",0.0001096856,0.066,"[0, 0, 1]",0.0067024408542099,0.0031332054351227
1.1494e-05,0.0,"[0, 1, 0]",9.048e-07,0.0,"[0, 1, 0]",0.0066986740010617,0.0031331811803014
4.46022e-05,0.0,"[0, 1, 0]",0.00031,0.124,"[1, 0, 0]",0.0066750636731897,0.0031312201786117
0.000162288,0.092,"[1, 0, 0]",5.3219e-06,0.014,"[0, 0, 1]",0.0066076809424077,0.0030920077779687
5.70011e-05,0.056,"[0, 0, 1]",0.000232503,0.088,"[0, 0, 1]",0.0066868794688079,0.0031323771498213
1.08e-05,0.012,"[1, 0, 0]",1.41623e-05,0.092,"[0, 0, 1]",0.0067028221185076,0.0031332645762187
9.2028e-06,0.0,"[0, 1, 0]",3.2368e-05,0.028,"[1, 0, 0]",0.0067012804908185,0.0031333416903474
1.71573e-05,0.0,"[0, 1, 0]",0.0001483837,0.082,"[0, 0, 1]",0.0066957069706699,0.0031332742635506
4.30964e-05,0.038,"[0, 0, 1]",0.0001105841,0.088,"[0, 0, 1]",0.0066940984901766,0.0031323166310774
5.79058e-05,0.0,"[0, 1, 0]",5.4287e-06,0.048,"[0, 0, 1]",0.0066676981021737,0.0031294116227573
5.5753e-06,0.0,"[0, 1, 0]",1.5264e-05,0.106,"[1, 0, 0]",0.0067038246804002,0.0031332592585997
7.36222e-05,0.0,"[0, 1, 0]",6.54498e-05,0.0,"[0, 1, 0]",0.0066532117715372,0.0031272380610852
0.0001071346,0.118,"[0, 0, 1]",0.0001963495,0.1,"[0, 0, 1]",0.0066707143953895,0.0031321100413184
3.0536e-06,0.0,"[0, 1, 0]",9.8e-06,0.098,"[1, 0, 0]",0.0067039985168499,0.0031333134035007
1.1494e-05,0.0,"[0, 1, 0]",3.87924e-05,0.0,"[0, 1, 0]",0.006699270174627,0.0031333755252016
3.43816e-05,0.076,"[0, 0, 1]",2.9184e-05,0.114,"[1, 0, 0]",0.0066970129809758,0.0031331290392813
7.36222e-05,0.0,"[0, 1, 0]",3.888e-05,0.03,"[1, 0, 0]",0.0066522026325938,0.0031273082786064
0.000181976,0.086,"[1, 0, 0]",0.000130536,0.074,"[1, 0, 0]",0.006608128874131,0.0030864625206457
0.0001130973,0.0,"[0, 1, 0]",2.58616e-05,0.042,"[0, 0, 1]",0.0066238439733912,0.0031214974826061
0.0001661903,0.1,"[0, 0, 1]",1.452e-05,0.03,"[1, 0, 0]",0.0066475823983286,0.0031256555588667
0.000157464,0.054,"[1, 0, 0]",5.5753e-06,0.0,"[0, 1, 0]",0.006605010775953,0.0031116411722754
0.0001662531,0.12,"[0, 0, 1]",2.05795e-05,0.0,"[0, 1, 0]",0.0066456507165626,0.0031275313799103
3.6864e-05,0.064,"[1, 0, 0]",2.704e-05,0.01,"[1, 0, 0]",0.0066768898701664,0.0031266813316577
8.2448e-05,0.0,"[0, 1, 0]",2.463e-06,0.016,"[0, 0, 1]",0.0066454707376135,0.0031259186971241
6.03186e-05,0.048,"[0, 0, 1]",5.5753e-06,0.0,"[0, 1, 0]",0.0066838519739294,0.0031317475328948
9.19523e-05,0.0,"[0, 1, 0]",7.436e-05,0.11,"[1, 0, 0]",0.0066386198847659,0.0031247635331367
6.54498e-05,0.0,"[0, 1, 0]",1.2288e-05,0.012,"[1, 0, 0]",0.0066601311133969,0.0031284241714236
3.35103e-05,0.0,"[0, 1, 0]",0.0001021604,0.0,"[0, 1, 0]",0.0066845693002375,0.0031321438308978
0.0002657787,0.094,"[0, 0, 1]",0.000297432,0.102,"[1, 0, 0]",0.006610250655624,0.003111742908582
